Youtuber,Title,Published_date,Views,Likes,Comments
randomfrankp,Unboxing the Razer & Costco 2021 Holiday Gaming Bundle!,2021-12-10,164975,5466,321
randomfrankp,I went to Micro Center & Built this SUPER CLEAN PC 🤤,2021-12-05,437112,16355,972
randomfrankp,Cool Tech Under $50 - December!,2021-12-04,611869,26280,2853
randomfrankp,Room Tour Project 261 - BEST Desk & Gaming Setups!,2021-11-29,148391,5117,151
randomfrankp,Top 5 Gaming and Streaming Microphones of 2021!,2021-11-28,557979,10885,649
randomfrankp,Top 5 Gaming Headsets of 2021!,2021-11-26,979472,17636,1047
randomfrankp,👀 Cool Hidden Easter Egg on Xbox 20th Anniversary controller box 👀,2021-11-23,101144,6533,103
randomfrankp,Room Tour Project 260 - BEST Desk & Gaming Setups!,2021-11-21,142398,5322,223
randomfrankp,Top 5 Gaming Mice of 2021!,2021-11-20,899575,20924,989
randomfrankp,Top 5 Gaming Keyboards of 2021!,2021-11-19,1180467,22805,903
randomfrankp,IT'S HERE! Logitech x Shroud G303 Wireless Mouse Review!,2021-11-16,235300,6271,513
randomfrankp,Fastest Glass Mousepad just got BETTER! #Shorts,2021-11-10,129137,5724,106
randomfrankp,Cool Tech Under $50 - November!,2021-11-06,951088,43349,4312
randomfrankp,MASSIVE Random Tech Unboxing Haul! #10,2021-11-05,196924,7795,592
randomfrankp,Reacting to your AWESOME Gaming Setups! RTP Ep. 259,2021-10-31,131062,6604,381
randomfrankp,Building the NEW IKEA & ROG Gaming Setup!,2021-10-30,308487,8009,484
randomfrankp,HOW GLORIOUS! Model O- Wireless & D- Wireless Mouse Review!,2021-10-27,133483,3688,255
randomfrankp,Room Tour Project 258 - Clean & Minimal Setups!,2021-10-24,153862,5681,220
randomfrankp,Razer Just Revealed a TON of New Tech!,2021-10-22,218856,8390,694
randomfrankp,Room Tour Project 257 - ULTIMATE Gaming Setups!,2021-10-10,126857,5530,240
randomfrankp,My 2021 Main Gaming Peripherals Setup!,2021-10-09,226875,8759,604
randomfrankp,"No no no, THIS is the LOUDEST Keyboard",2021-10-08,121874,4896,504
randomfrankp,Cool Tech Under $100 - October!,2021-10-02,1099161,34480,1145
randomfrankp,Room Tour Project 256 - Laptop Setups!,2021-09-26,105959,4288,212
randomfrankp,5 BIG Changes to the NEW Razer Huntsman V2 TKL Keyboard!,2021-09-17,274029,7768,681
randomfrankp,Glorious Model D Wireless Mouse Review - FREE THE D!,2021-09-14,211080,6946,563
randomfrankp,Room Tour Project 255 - Best Gaming & Desk Setups!,2021-09-12,123757,5519,350
randomfrankp,NZXT Capsule Microphone Review + Mic Test Comparison!,2021-09-08,126671,4776,239
randomfrankp,Room Tour Project 254 - Best Gaming & Desk Setups!,2021-09-05,149301,6248,213
randomfrankp,Cool Tech Under $50 - September!,2021-09-04,569190,24979,3250
randomfrankp,Building A Budget $98 Custom Keyboard!,2021-08-28,627238,18083,913
randomfrankp,Keychron Q1 Review - A CRAZY good keyboard for the price!,2021-08-24,383856,8716,548
randomfrankp,Room Tour Project 253 🔥 CRAZY Gaming Setups!,2021-08-15,155555,6778,358
randomfrankp,10 Cool Back to School Tech Gadgets Under $100!,2021-08-14,494033,22337,610
randomfrankp,"Unboxing Razer's ""Keyboard Customization Kit"" ?!",2021-08-11,1034940,26806,932
randomfrankp,Room Tour Project 252 - Clean & Minimal Setups!,2021-08-08,164649,7103,297
randomfrankp,Cool Tech Under $50 - August!,2021-08-07,987418,44064,4078
randomfrankp,Awesome Gaming Keyboards Under $100!,2021-08-06,626343,16699,988
randomfrankp,My Top 5 Gaming Mice of 2021! (So Far),2021-07-31,710280,16969,968
randomfrankp,The King of 4K Gaming Monitors - Eve Spectrum Review!,2021-07-26,141925,4704,616
randomfrankp,Room Tour Project 251  - Best Gaming Setups!,2021-07-25,129861,5697,245
randomfrankp,The PS Vita is still AWESOME in 2022!,2021-07-24,708990,16935,1408
randomfrankp,Elgato Facecam Review! FINALLY A Solid Webcam,2021-07-15,243843,6798,446
randomfrankp,Razer Barracuda X Wireless Gaming Headset Review!,2021-07-13,443086,10021,864
randomfrankp,Room Tour Project 250 - Clean & Minimal Setups!,2021-07-11,182369,8031,322
randomfrankp,Room Tour Project 249  - Best Gaming Setups!,2021-07-04,197067,7805,483
randomfrankp,Cool Tech Under $50 - July!,2021-07-03,1135753,45167,5053
randomfrankp,Adding Crazy RGB To Your Gaming Setup!,2021-07-02,421113,17002,497
randomfrankp,My Very Random Tech Unboxing Haul! #9,2021-06-25,140933,7019,1021
